filepath,testclass,testname,line number,assert string
django\contrib\admin\tests.py,AdminSeleniumTestCase,_assertOptionsValues,203,"self.assertEqual(values, actual_values)"
django\contrib\admin\tests.py,AdminSeleniumTestCase,assertCountSeleniumElements,191,"self.assertEqual(len(root_element.find_elements(By.CSS_SELECTOR, selector)), count)"
django\contrib\messages\test.py,MessagesTestMixin,assertMessages,11,"assertion(request_messages, expected_messages)"
django\test\client.py,FakePayload,read,92,"assert self.__len >= size, 'Cannot read more than the available bytes from the HTTP incoming data.'"
django\test\client.py,FakePayload,readline,105,"assert self.__len >= size, 'Cannot read more than the available bytes from the HTTP incoming data.'"
django\test\runner.py,DiscoverRunner,load_tests_for_label,903,assert tests is None
django\test\testcases.py,SimpleTestCase,_assert_contains,552,"self.assertEqual(response.status_code, status_code, msg_prefix + ""Couldn't retrieve content: Response code was %d (expected %d)"" % (response.status_code, status_code))"
django\test\testcases.py,SimpleTestCase,_assert_contains,571,"assert_and_parse_html(self, content, None, ""Response's content is not valid HTML:"")"
django\test\testcases.py,SimpleTestCase,_assert_contains,574,"assert_and_parse_html(self, text, None, 'Second argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,_assert_form_error,664,"self.assertEqual(field_errors, errors, msg_prefix + failure_message)"
django\test\testcases.py,SimpleTestCase,_assert_raises_or_warns_cm,809,"self.assertIn(expected_message, str(getattr(cm, cm_attr)))"
django\test\testcases.py,SimpleTestCase,_assert_template_used,744,"self.assertTrue(template_name in template_names, msg_prefix + ""Template '%s' was not a template used to render the response. Actual template(s) used: %s"" % (template_name, ', '.join(template_names)))"
django\test\testcases.py,SimpleTestCase,_assert_template_used,752,"self.assertEqual(template_names.count(template_name), count, msg_prefix + ""Template '%s' was expected to be rendered %d time(s) but was actually rendered %d time(s)."" % (template_name, count, template_names.count(template_name)))"
django\test\testcases.py,SimpleTestCase,assertContains,595,"self.assertEqual(real_count, count, f'{msg_prefix}Found {real_count} instances of {text_repr} (expected {count}) in the following response\n{content_repr}')"
django\test\testcases.py,SimpleTestCase,assertContains,604,"self.assertTrue(real_count != 0, f""{msg_prefix}Couldn't find {text_repr} in the following response\n{content_repr}"")"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,893,"self.assertEqual(required.clean(input), output)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,894,"self.assertEqual(optional.clean(input), output)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,897,self.assertRaises(ValidationError)
django\test\testcases.py,SimpleTestCase,assertFieldOutput,899,"self.assertEqual(context_manager.exception.messages, errors)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,901,self.assertRaises(ValidationError)
django\test\testcases.py,SimpleTestCase,assertFieldOutput,903,"self.assertEqual(context_manager.exception.messages, errors)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,907,self.assertRaises(ValidationError)
django\test\testcases.py,SimpleTestCase,assertFieldOutput,909,"self.assertEqual(context_manager.exception.messages, error_required)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,910,"self.assertEqual(optional.clean(e), empty_value)"
django\test\testcases.py,SimpleTestCase,assertFieldOutput,914,"self.assertIsInstance(fieldclass(*field_args, **field_kwargs), fieldclass)"
django\test\testcases.py,SimpleTestCase,assertFormSetError,717,"self.assertEqual(formset.non_form_errors(), errors, msg_prefix + failure_message)"
django\test\testcases.py,SimpleTestCase,assertHTMLEqual,922,"assert_and_parse_html(self, html1, msg, 'First argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertHTMLEqual,925,"assert_and_parse_html(self, html2, msg, 'Second argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertHTMLNotEqual,942,"assert_and_parse_html(self, html1, msg, 'First argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertHTMLNotEqual,945,"assert_and_parse_html(self, html2, msg, 'Second argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertInHTML,954,"assert_and_parse_html(self, needle, None, 'First argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertInHTML,957,"assert_and_parse_html(self, haystack, None, 'Second argument is not valid HTML:')"
django\test\testcases.py,SimpleTestCase,assertInHTML,975,"self.assertEqual(real_count, count, f'{msg_prefix}{msg}')"
django\test\testcases.py,SimpleTestCase,assertInHTML,977,"self.assertTrue(real_count != 0, f""{msg_prefix}Couldn't find {needle!r} in the following response\n{haystack_repr}"")"
django\test\testcases.py,SimpleTestCase,assertJSONEqual,1003,"self.assertEqual(data, expected_data, msg=msg)"
django\test\testcases.py,SimpleTestCase,assertJSONNotEqual,1020,"self.assertNotEqual(data, expected_data, msg=msg)"
django\test\testcases.py,SimpleTestCase,assertNotContains,624,"self.assertEqual(real_count, 0, f'{msg_prefix}{text_repr} unexpectedly found in the following response\n{content_repr}')"
django\test\testcases.py,SimpleTestCase,assertNotInHTML,986,"self.assertInHTML(needle, haystack, count=0, msg_prefix=msg_prefix)"
django\test\testcases.py,SimpleTestCase,assertRedirects,418,"self.assertTrue(response.redirect_chain, msg_prefix + ""Response didn't redirect as expected: Response code was %d (expected %d)"" % (response.status_code, status_code))"
django\test\testcases.py,SimpleTestCase,assertRedirects,428,"self.assertEqual(response.redirect_chain[0][1], status_code, msg_prefix + ""Initial response didn't redirect as expected: Response code was %d (expected %d)"" % (response.redirect_chain[0][1], status_code))"
django\test\testcases.py,SimpleTestCase,assertRedirects,441,"self.assertEqual(response.status_code, target_status_code, msg_prefix + ""Response didn't redirect as expected: Final Response code was %d (expected %d)"" % (response.status_code, target_status_code))"
django\test\testcases.py,SimpleTestCase,assertRedirects,454,"self.assertEqual(response.status_code, status_code, msg_prefix + ""Response didn't redirect as expected: Response code was %d (expected %d)"" % (response.status_code, status_code))"
django\test\testcases.py,SimpleTestCase,assertRedirects,497,"self.assertEqual(redirect_response.status_code, target_status_code, msg_prefix + ""Couldn't retrieve redirection page '%s': response code was %d (expected %d)"" % (path, redirect_response.status_code, target_status_code))"
django\test\testcases.py,SimpleTestCase,assertRedirects,508,"self.assertURLEqual(url, expected_url, msg_prefix + ""Response redirected to '%s', expected '%s'"" % (url, expected_url))"
django\test\testcases.py,SimpleTestCase,assertTemplateNotUsed,796,"self.assertFalse(template_name in template_names, msg_prefix + ""Template '%s' was used unexpectedly in rendering the response"" % template_name)"
django\test\testcases.py,SimpleTestCase,assertURLEqual,533,"self.assertEqual(normalize(url1), normalize(url2), msg_prefix + ""Expected '%s' to equal '%s'."" % (url1, url2))"
django\test\testcases.py,TransactionTestCase,assertQuerySetEqual,1253,"self.assertDictEqual(Counter(items), Counter(values), msg=msg)"
django\test\testcases.py,TransactionTestCase,assertQuerySetEqual,1261,"self.assertEqual(list(items), values, msg=msg)"
django\test\testcases.py,_AssertNumQueriesContext,__exit__,112,"self.test_case.assertEqual(executed, self.num, '%d queries executed, %d expected\nCaptured queries were:\n%s' % (executed, self.num, '\n'.join(('%d. %s' % (i, query['sql']) for i, query in enumerate(self.captured_queries, start=1)))))"
django\test\testcases.py,_AssertTemplateNotUsedContext,test,165,"self.test_case.assertFalse(self.template_name in rendered_template_names, f""{self.msg_prefix}Template '{self.template_name}' was used unexpectedly in rendering the response"")"
django\test\utils.py,modify_settings,__init__,561,assert not kwargs
django\test\utils.py,modify_settings,__init__,564,assert not args
tests\absolute_url_overrides\tests.py,AbsoluteUrlOverrideTests,test_get_absolute_url,18,"self.assertTrue(hasattr(TestA, 'get_absolute_url'))"
tests\absolute_url_overrides\tests.py,AbsoluteUrlOverrideTests,test_get_absolute_url,20,"self.assertEqual('/test-a/%s/' % obj.pk, obj.get_absolute_url())"
