filepath,testclass,testname,line number,assert string
examples\javascript\tests\test_js_example.py,,check,16,assert template.name == template_name
examples\javascript\tests\test_js_example.py,,test_add,27,assert response.get_json()['result'] == result
examples\javascript\tests\test_js_example.py,,test_index,16,assert template.name == template_name
examples\tutorial\tests\test_auth.py,,test_login,41,assert client.get('/auth/login').status_code == 200
examples\tutorial\tests\test_auth.py,,test_login,45,assert response.headers['Location'] == '/'
examples\tutorial\tests\test_auth.py,,test_login,51,assert session['user_id'] == 1
examples\tutorial\tests\test_auth.py,,test_login,52,assert g.user['username'] == 'test'
examples\tutorial\tests\test_auth.py,,test_login_validate_input,61,assert message in response.data
examples\tutorial\tests\test_auth.py,,test_logout,69,assert 'user_id' not in session
examples\tutorial\tests\test_auth.py,,test_register,10,assert client.get('/auth/register').status_code == 200
examples\tutorial\tests\test_auth.py,,test_register,14,assert response.headers['Location'] == '/auth/login'
examples\tutorial\tests\test_auth.py,,test_register,18,"assert get_db().execute(""SELECT * FROM user WHERE username = 'a'"").fetchone() is not None"
examples\tutorial\tests\test_auth.py,,test_register_validate_input,36,assert message in response.data
examples\tutorial\tests\test_blog.py,,test_author_required,34,assert client.post('/1/update').status_code == 403
examples\tutorial\tests\test_blog.py,,test_author_required,35,assert client.post('/1/delete').status_code == 403
examples\tutorial\tests\test_blog.py,,test_author_required,37,"assert b'href=""/1/update""' not in client.get('/').data"
examples\tutorial\tests\test_blog.py,,test_create,48,assert client.get('/create').status_code == 200
examples\tutorial\tests\test_blog.py,,test_create,54,assert count == 2
examples\tutorial\tests\test_blog.py,,test_create_update_validate,72,assert b'Title is required.' in response.data
examples\tutorial\tests\test_blog.py,,test_delete,78,assert response.headers['Location'] == '/'
examples\tutorial\tests\test_blog.py,,test_delete,83,assert post is None
examples\tutorial\tests\test_blog.py,,test_exists_required,43,assert client.post(path).status_code == 404
examples\tutorial\tests\test_blog.py,,test_index,8,assert b'Log In' in response.data
examples\tutorial\tests\test_blog.py,,test_index,9,assert b'Register' in response.data
examples\tutorial\tests\test_blog.py,,test_index,13,assert b'test title' in response.data
examples\tutorial\tests\test_blog.py,,test_index,14,assert b'by test on 2018-01-01' in response.data
